stadium,date,time,home,guest
Lovech Stadium,2020-12-11,16:48:08,Canada,Switzerland
Lovech Stadium,2020-12-25,01:07:57,Burundi,United Kingdom
Lovech Stadium,2021-02-08,12:43:39,Mali,Ethiopia
Shafa Stadium,2020-12-08,14:53:50,Armenia,United States of America
Shafa Stadium,2021-02-27,22:05:20,Hungary,Jordan
Shafa Stadium,2021-02-20,06:12:51,United Arab Emirates,Morocco
Shafa Stadium,2021-02-15,23:04:01,The Gambia,Switzerland
Shafa Stadium,2021-04-12,17:18:00,Sierra Leone,Paraguay
Shafa Stadium,2020-11-30,13:46:57,Uganda,Oman
Shakhtyor Stadium,2021-04-22,20:20:58,Argentina,Cuba
Shakhtyor Stadium,2020-11-30,23:48:55,Guatemala,Cuba
Shakhtyor Stadium,2021-05-17,04:04:28,Austria,Nepal
Shakhtyor Stadium,2021-03-31,20:37:01,South Korea,Cyprus
Estadio Eladio Rosabal Cordero,2021-03-07,00:04:20,Libya,Morocco
Estadio Eladio Rosabal Cordero,2021-03-11,19:24:32,Greece,Tunisia
Estadio Eladio Rosabal Cordero,2021-04-20,20:42:56,Austria,Bahrain
Estadio Eladio Rosabal Cordero,2021-03-28,10:11:08,Dominican Republic,Myanmar
Honda Miyakoda Soccer Stadium,2021-03-13,17:52:18,Cambodia,Czech Republic
Honda Miyakoda Soccer Stadium,2021-03-05,09:55:06,Czech Republic,Mauritania
Honda Miyakoda Soccer Stadium,2021-05-19,20:59:19,Bulgaria,Malta
Honda Miyakoda Soccer Stadium,2021-03-16,20:42:10,Bangladesh,Papua New Guinea
Honda Miyakoda Soccer Stadium,2021-03-03,21:01:26,Switzerland,France
Honda Miyakoda Soccer Stadium,2021-04-22,21:11:12,United States of America,Nigeria
Estadi Municipal de Manlleu,2021-05-12,18:11:52,India,Myanmar
Estadi Municipal de Manlleu,2021-04-11,23:12:59,Somalia,Costa Rica
Estadi Municipal de Manlleu,2021-04-17,18:17:57,Iran,Bahrain
Estadi Municipal de Manlleu,2021-05-14,13:31:05,Ecuador,Uruguay
Estadi Municipal de Manlleu,2021-03-14,15:34:47,Bahrain,Ireland
Estadi Municipal de Manlleu,2021-02-18,20:05:44,State of Palestine,Thailand
Estadi Municipal de Manlleu,2021-01-02,23:21:31,Kazakhstan,Antigua and Barbuda
Saviniemi,2021-01-21,23:17:52,Trinidad and Tobago,Gabon
Saviniemi,2021-02-21,00:22:57,Slovenia,Egypt
Saviniemi,2020-12-14,18:45:44,Nepal,Turkey
Saviniemi,2021-02-28,16:11:00,Albania,Ethiopia
Saviniemi,2020-11-26,15:34:02,Singapore,Rwanda
Saviniemi,2021-04-18,10:28:37,Indonesia,Malawi
Stadio Piergiovanni Mecchia,2021-05-17,10:04:17,Nicaragua,Russia
Stadio Piergiovanni Mecchia,2021-02-18,09:16:18,Guatemala,Uganda
Stadio Piergiovanni Mecchia,2021-04-22,09:21:45,People's Republic of China,Djibouti
Stadio Piergiovanni Mecchia,2020-12-29,23:22:28,Slovakia,Azerbaijan
Stadio Comunale,2021-04-15,17:51:36,Syria,Tajikistan
Stadio Comunale,2021-03-01,19:25:53,Fiji,Greece
Stadio Comunale,2020-12-02,15:50:11,Dominican Republic,Libya
Stadio Comunale,2020-12-12,15:06:23,Czech Republic,Antigua and Barbuda
Stadio Comunale,2021-01-27,14:27:50,Iceland,Curaçao
Stadio Comunale,2021-03-19,02:22:28,Israel,Azerbaijan
Stadio Comunale,2021-03-04,16:47:24,Faroe Islands,Cambodia
Stadio Comunale,2021-04-25,10:46:52,Vietnam,Zimbabwe
Stadio Comunale,2021-03-17,11:27:33,Brunei,Hungary
Stadio Comunale,2020-11-29,22:01:05,Ecuador,Belarus
Stadio Fratelli Paschiero,2021-01-15,15:44:30,Republic of Abkhazia,Thailand
Stadio Fratelli Paschiero,2021-05-03,19:50:03,Saudi Arabia,Malawi
Stadio Fratelli Paschiero,2021-01-14,11:31:17,Austria,Peru
Stadio Fratelli Paschiero,2021-02-04,05:05:04,Croatia,Mauritius
Stadio Fratelli Paschiero,2020-11-28,00:24:11,Canada,Brunei
Stadio Fratelli Paschiero,2021-01-17,10:13:44,Paraguay,United Arab Emirates
Stadio Fratelli Paschiero,2021-04-06,15:36:18,Iceland,Estonia
Stadio Fratelli Paschiero,2021-05-03,08:15:29,Poland,Costa Rica
Stadio Giuseppe Voltini,2021-04-01,10:22:40,Croatia,Austria
Stadio Giuseppe Voltini,2020-12-13,19:12:57,Sweden,Slovenia
Stadio Giuseppe Voltini,2021-03-24,11:58:05,United Kingdom,Uruguay
Stadio Giuseppe Voltini,2021-01-28,20:55:33,Liberia,France
Stadio Giuseppe Voltini,2021-03-25,04:40:36,Malawi,British Virgin Islands
Stadio Giuseppe Voltini,2021-05-18,13:32:28,Portugal,British Virgin Islands
Stadio Giuseppe Voltini,2021-04-10,21:36:37,The Gambia,Turkmenistan
Stadio Giuseppe Voltini,2021-04-05,08:24:47,Turkey,Ecuador
Cressing Road,2021-05-12,15:52:32,Italy,Norway
Cressing Road,2020-12-02,20:54:34,Uruguay,Austria
Cressing Road,2020-12-24,06:28:40,Kazakhstan,Algeria
Cressing Road,2021-02-06,12:58:44,Greece,Italy
Cressing Road,2021-03-10,10:18:57,Eritrea,North Korea
Balmoor Stadium,2021-03-21,15:41:40,Burkina Faso,Japan
Balmoor Stadium,2020-12-30,00:34:10,Panama,Canada
Balmoor Stadium,2021-03-14,04:17:30,New Zealand,Algeria
Balmoor Stadium,2021-01-24,16:22:23,Armenia,Montenegro
Balmoor Stadium,2021-04-10,05:48:51,Turkey,Trinidad and Tobago
Balmoor Stadium,2021-01-16,23:23:06,San Marino,The Gambia
York Road,2020-11-26,04:12:46,Israel,North Korea
York Road,2021-04-17,04:59:08,Paraguay,Belarus
York Road,2020-11-29,03:15:20,Slovenia,Malaysia
York Road,2020-11-28,05:27:35,Taiwan,Republic of Abkhazia
Meggetland Sports Complex,2021-01-23,04:59:39,Cape Verde,Lebanon
Meggetland Sports Complex,2020-12-18,03:03:55,Zimbabwe,Venezuela
Meggetland Sports Complex,2020-12-03,21:59:38,Guyana,Qatar
Meggetland Sports Complex,2021-01-18,12:32:02,Honduras,Brazil
Angstrem Stadium,2021-05-15,18:57:10,Malaysia,Ghana
Angstrem Stadium,2021-03-13,15:11:08,United Arab Emirates,Nepal
Angstrem Stadium,2021-03-30,20:08:44,British Virgin Islands,South Africa
Stadion an der Gisselberger Straße,2021-03-01,07:30:44,Albania,Benin
Stadion an der Gisselberger Straße,2021-02-06,18:00:59,Dominican Republic,Luxembourg
Stadion an der Gisselberger Straße,2021-04-14,07:34:03,Cameroon,Bulgaria
Stadion an der Gisselberger Straße,2021-03-28,00:18:20,Pakistan,Uganda
Stadion an der Gisselberger Straße,2021-01-14,06:17:31,The Gambia,Saudi Arabia
Stadion an der Gisselberger Straße,2020-12-22,06:53:54,North Macedonia,Faroe Islands
Stadion an der Gisselberger Straße,2021-03-17,17:55:40,Ghana,Burkina Faso
Stadion an der Gisselberger Straße,2021-04-28,22:06:38,Egypt,Qatar
Stroitel Stadium,2021-04-20,22:12:38,Poland,Guatemala
Stroitel Stadium,2020-12-04,02:14:13,Portugal,Papua New Guinea
Stroitel Stadium,2021-03-16,13:55:13,Australia,Montenegro
FC Minsk Stadium,2021-03-03,00:06:26,Russia,Albania
FC Minsk Stadium,2021-02-23,16:42:53,Venezuela,Rwanda
FC Minsk Stadium,2021-03-20,10:14:53,North Korea,Tanzania
FC Minsk Stadium,2021-03-23,14:35:27,Iceland,Uzbekistan
FC Minsk Stadium,2021-03-02,21:16:16,Lithuania,Italy
FC Minsk Stadium,2021-03-07,16:26:44,Eritrea,Morocco
FC Minsk Stadium,2021-01-27,19:07:26,Mali,Luxembourg
FC Minsk Stadium,2021-01-10,06:14:56,Russia,Kuwait
Bonifika Stadium,2021-01-15,17:54:09,Algeria,Zimbabwe
Bonifika Stadium,2021-05-20,05:59:32,Fiji,Italy
Bonifika Stadium,2021-04-28,16:34:15,Bahrain,Switzerland
Bonifika Stadium,2021-01-16,22:02:59,Faroe Islands,Bulgaria
Bonifika Stadium,2021-05-04,08:56:20,Saudi Arabia,Belgium
Bonifika Stadium,2021-01-12,07:43:48,France,Greece
Bonifika Stadium,2021-03-25,15:45:55,Ireland,Burundi
Bonifika Stadium,2021-04-13,05:07:52,Jordan,Turkmenistan
Bonifika Stadium,2021-03-17,08:27:18,Australia,Iceland
Stadion Park mladeži,2021-02-24,01:34:31,Turkey,Rwanda
Stadion Park mladeži,2021-04-05,15:10:09,Benin,Ivory Coast
Stadion Park mladeži,2020-12-08,23:31:14,Bangladesh,Romania
Stadion Park mladeži,2021-03-01,05:01:42,South Africa,Ivory Coast
Stadion Park mladeži,2021-01-25,04:13:06,Switzerland,Republic of Abkhazia
Bishan Stadium,2021-05-14,01:49:42,Paraguay,Portugal
Bishan Stadium,2021-03-05,22:06:39,Guernsey,Brazil
Bishan Stadium,2020-12-31,22:58:26,Saint Vincent and the Grenadines,Vietnam
Bishan Stadium,2021-01-20,14:08:43,North Korea,Greenland
Bishan Stadium,2021-03-23,10:28:16,Panama,Myanmar
Bishan Stadium,2021-01-04,06:01:25,Bhutan,North Korea
Bishan Stadium,2020-12-20,01:49:29,Dominica,Azerbaijan
Afula Illit Stadium,2020-12-18,08:36:45,India,Faroe Islands
Afula Illit Stadium,2020-11-28,13:28:45,Brunei,Indonesia
Afula Illit Stadium,2020-12-22,22:45:05,Germany,Cambodia
Afula Illit Stadium,2020-12-10,11:50:12,Netherlands,Luxembourg
Afula Illit Stadium,2021-03-10,09:31:53,Saint Kitts and Nevis,France
Afula Illit Stadium,2021-04-07,02:15:43,Libya,Estonia
Lod Municipal Stadium,2021-05-05,04:36:06,Ivory Coast,Slovenia
Lod Municipal Stadium,2021-02-25,11:36:40,Luxembourg,The Gambia
Lod Municipal Stadium,2021-02-16,10:48:11,Israel,Taiwan
Lod Municipal Stadium,2020-11-26,03:48:18,Gabon,Russia
Lod Municipal Stadium,2021-02-11,05:32:56,Mexico,Antigua and Barbuda
Estadio Municipal Arsénio Ramos,2021-01-17,12:08:36,Libya,Cambodia
Estadio Municipal Arsénio Ramos,2021-01-26,07:54:44,British Virgin Islands,Gabon
Estadio Municipal Arsénio Ramos,2021-01-17,22:31:45,Bosnia and Herzegovina,Austria
Estadio Municipal Arsénio Ramos,2020-12-06,04:24:00,Iraq,Myanmar
Estadio Municipal Arsénio Ramos,2021-03-29,20:35:32,Bulgaria,El Salvador
Djúpumýra Stadium,2021-02-28,02:26:12,Rwanda,Singapore
Djúpumýra Stadium,2020-12-23,08:05:11,Kyrgyzstan,Fiji
Djúpumýra Stadium,2021-05-14,04:10:02,Portugal,Kosovo
Djúpumýra Stadium,2021-03-20,01:57:41,Sweden,Rwanda
Djúpumýra Stadium,2021-05-18,15:17:48,Egypt,Malawi
SV Vesta Stadion,2021-03-14,12:04:51,Mauritania,Latvia
SV Vesta Stadion,2021-01-16,11:18:30,Antigua and Barbuda,Iceland
SV Vesta Stadion,2021-02-24,21:24:17,Hungary,Saint Vincent and the Grenadines
SV Vesta Stadion,2020-12-28,17:10:39,Portugal,Antigua and Barbuda
SV Vesta Stadion,2021-04-10,12:50:02,Ecuador,Lithuania
SV Vesta Stadion,2021-03-24,07:52:03,Bangladesh,Guernsey
SV Vesta Stadion,2021-03-05,17:15:50,Montenegro,Mauritius
SV Vesta Stadion,2021-02-13,00:12:23,Israel,Kenya
SV Vesta Stadion,2021-02-20,18:28:51,Serbia,Sudan
Szegedi VSE Stadion,2021-01-27,22:30:09,Botswana,Luxembourg
Szegedi VSE Stadion,2021-02-05,12:37:44,Mauritania,Myanmar
Szegedi VSE Stadion,2021-01-12,23:44:19,Egypt,Mongolia
Szegedi VSE Stadion,2020-11-27,15:22:53,Lithuania,Antigua and Barbuda
Szegedi VSE Stadion,2021-05-12,19:15:26,Taiwan,United Arab Emirates
Szegedi VSE Stadion,2020-11-24,16:03:41,United Kingdom,Poland
Szegedi VSE Stadion,2021-03-11,09:07:30,Somalia,Angola
Szegedi VSE Stadion,2021-02-15,07:24:19,Liechtenstein,São Tomé and Príncipe
Kimpinen Sports Centre,2021-03-29,11:06:47,Myanmar,Nepal
Kimpinen Sports Centre,2021-05-05,23:15:30,Libya,Azerbaijan
Kimpinen Sports Centre,2021-01-19,18:52:01,Jordan,Albania
Kimpinen Sports Centre,2021-05-18,21:48:56,Rwanda,Bolivia
Gutavallen,2021-03-22,05:39:59,Tajikistan,Greece
Gutavallen,2021-05-03,08:55:51,Tajikistan,Iraq
Gutavallen,2021-02-15,16:53:09,Burkina Faso,North Korea
Gutavallen,2021-03-19,08:24:52,Australia,Armenia
Gutavallen,2021-04-20,13:21:12,United States of America,Democratic Republic of the Congo
Gutavallen,2020-12-14,02:17:15,Uganda,Japan
Gutavallen,2021-04-17,03:59:52,Malaysia,Singapore
Gutavallen,2021-05-09,02:39:02,Gabon,Afghanistan
Gutavallen,2020-11-30,06:32:17,Bhutan,Turkmenistan
Gutavallen,2021-03-23,11:42:04,Romania,Chile
Stadio Gian Domenico Tursi,2021-04-21,20:52:14,Cameroon,Albania
Stadio Gian Domenico Tursi,2020-12-13,00:39:36,South Korea,Zimbabwe
Stadio Gian Domenico Tursi,2021-04-29,04:02:23,United Kingdom,Liberia
Stadio Gian Domenico Tursi,2021-01-24,15:07:06,Zimbabwe,Kosovo
Stadio Gian Domenico Tursi,2021-04-26,16:29:07,Nepal,Solomon Islands
Stadio Gian Domenico Tursi,2021-01-27,00:46:27,Nepal,Dominican Republic
Stadio Gian Domenico Tursi,2021-05-07,18:17:40,Gabon,Bolivia
Stadio Gian Domenico Tursi,2021-01-28,12:59:06,Taiwan,Botswana
Stadio Gian Domenico Tursi,2021-03-12,23:31:17,Iceland,Paraguay
Stadio Gian Domenico Tursi,2021-01-05,10:52:52,Turkey,Thailand
Stadio Pietro Fortunati,2021-04-14,13:13:02,Serbia,Sudan
Stadio Pietro Fortunati,2021-01-11,04:06:48,United Kingdom,Cape Verde
Stadio Pietro Fortunati,2021-03-06,16:11:45,Benin,Nicaragua
Stadio Pietro Fortunati,2021-04-14,22:25:43,Ecuador,Romania
Stadio Pietro Fortunati,2021-02-25,08:28:14,Bhutan,Canada
Stadio Pietro Fortunati,2020-12-23,07:45:42,Indonesia,Dominica
Stadio Pietro Fortunati,2021-04-16,17:49:20,Jordan,San Marino
Stadio Pietro Fortunati,2020-12-31,14:58:52,Liechtenstein,Faroe Islands
Stadio Rigamonti-Ceppi,2020-11-22,02:57:44,Hungary,Turkey
Stadio Rigamonti-Ceppi,2020-12-08,22:49:31,Luxembourg,Uruguay
Stadio Rigamonti-Ceppi,2021-01-30,15:38:02,Liechtenstein,Chile
Stadio Rigamonti-Ceppi,2021-05-08,04:44:11,Sierra Leone,Kazakhstan
Stadio Rigamonti-Ceppi,2020-12-27,21:05:52,Faroe Islands,Austria
Stadio Rigamonti-Ceppi,2021-05-20,09:35:58,Bulgaria,Suriname
Stadio Rigamonti-Ceppi,2021-03-28,20:54:18,Israel,Bangladesh
Stadio Rigamonti-Ceppi,2021-05-16,03:16:20,Papua New Guinea,Moldova
Stadio Comunale Bellinzona,2020-12-28,09:27:19,Afghanistan,Somalia
Stadio Comunale Bellinzona,2021-03-19,13:46:41,Mauritius,Cyprus
Stadio Comunale Bellinzona,2021-05-07,00:19:13,Burkina Faso,Guatemala
Stadio Comunale Bellinzona,2021-04-28,19:56:41,Latvia,Benin
Stadio Comunale Bellinzona,2020-12-01,11:19:04,Afghanistan,Saint Vincent and the Grenadines
Wa Sports Stadium,2021-01-04,15:46:16,Colombia,North Korea
Wa Sports Stadium,2021-04-20,11:22:26,Benin,Morocco
Wa Sports Stadium,2021-03-06,13:30:27,Guatemala,Bangladesh
Wa Sports Stadium,2021-05-17,08:37:10,Israel,Saint Lucia
Wa Sports Stadium,2021-04-09,17:55:34,Moldova,Saint Lucia
Holker Street,2021-01-01,07:06:16,Latvia,Qatar
Holker Street,2021-03-02,18:26:07,Benin,Taiwan
Holker Street,2020-12-07,12:27:22,Papua New Guinea,Finland
Holker Street,2021-03-28,03:02:44,Grenada,Ukraine
Holker Street,2020-12-24,22:24:17,Algeria,Somalia
Holker Street,2021-03-28,12:05:12,Mexico,Curaçao
Holker Street,2021-04-12,21:42:14,Uganda,Zambia
Holker Street,2020-12-26,10:53:37,Saint Lucia,Fiji
Estádio Augusto Bauer,2021-03-11,04:12:40,Mauritius,Bahrain
Estádio Augusto Bauer,2021-01-12,02:47:29,Morocco,Laos
Estádio Augusto Bauer,2020-12-13,07:08:44,Cameroon,Estonia
Heinrich Germer Stadium,2021-04-01,09:04:23,Costa Rica,Mauritania
Heinrich Germer Stadium,2021-02-07,14:04:11,El Salvador,Iran
Heinrich Germer Stadium,2020-12-24,20:55:40,Nigeria,South Africa
Heinrich Germer Stadium,2021-02-20,06:13:46,Syria,Spain
Minyor Stadium,2021-02-16,03:37:19,Curaçao,Switzerland
Minyor Stadium,2021-02-03,02:52:21,Latvia,Vietnam
Minyor Stadium,2021-01-24,08:46:37,Tanzania,Latvia
Stadion Nikola Mantov,2020-12-08,12:36:33,Sudan,Hungary
Stadion Nikola Mantov,2021-05-12,15:56:42,Spain,People's Republic of China
Stadion Nikola Mantov,2021-03-29,10:25:50,Greenland,Libya
Stadion Nikola Mantov,2021-01-06,09:13:55,Somalia,Belgium
Stadion Nikola Mantov,2021-04-26,17:52:43,Tanzania,Zimbabwe
Stadion Nikola Mantov,2020-11-23,18:51:01,Zimbabwe,Democratic Republic of the Congo
Stadion Nikola Mantov,2021-04-16,13:28:00,Bahrain,Bhutan
Stadion Nikola Mantov,2021-03-14,04:55:48,South Korea,Sudan
Stadion Nikola Mantov,2021-05-19,03:46:26,Mali,Egypt
Urartu Stadium,2021-02-13,00:35:46,The Gambia,Sudan
Urartu Stadium,2021-02-02,16:40:58,Malta,Italy
Urartu Stadium,2021-02-18,08:57:36,Guernsey,Malawi
Urartu Stadium,2020-11-27,12:24:31,Eritrea,Papua New Guinea
Urartu Stadium,2021-04-06,18:36:06,Pakistan,Egypt
Urartu Stadium,2021-02-04,01:33:10,Guyana,Zimbabwe
Estadio Hugo Bogado Vaceque,2021-03-14,03:57:20,People's Republic of China,Thailand
Estadio Hugo Bogado Vaceque,2021-02-18,12:37:54,Germany,Colombia
Estadio Hugo Bogado Vaceque,2021-03-06,01:00:46,Peru,Mauritius
Pokhara Rangasala,2021-04-01,15:13:53,São Tomé and Príncipe,New Zealand
Pokhara Rangasala,2021-02-15,16:22:36,State of Palestine,Switzerland
Pokhara Rangasala,2021-01-01,16:26:22,South Sudan,Vietnam
Pokhara Rangasala,2021-03-08,09:17:11,Cape Verde,Eritrea
Pokhara Rangasala,2021-05-04,05:00:38,Zimbabwe,Singapore
Pokhara Rangasala,2020-11-26,20:57:09,Cyprus,Bosnia and Herzegovina
Stade Gbegamey,2020-11-26,16:53:41,Jordan,The Gambia
Stade Gbegamey,2021-02-23,11:01:35,Netherlands,Portugal
Stade Gbegamey,2021-05-12,18:09:02,Sudan,Greece
Stade Gbegamey,2021-01-08,23:12:38,Jordan,Serbia
Mewata Stadium,2021-03-07,16:09:01,Canada,South Africa
Mewata Stadium,2021-02-12,11:41:35,Spain,Dominica
Mewata Stadium,2020-12-22,01:37:10,Kyrgyzstan,Laos
Mewata Stadium,2021-05-09,21:35:28,Djibouti,Bulgaria
Mewata Stadium,2021-02-13,09:49:16,Uruguay,Egypt
Mewata Stadium,2021-04-29,11:58:35,Sri Lanka,Malta
Sandefjord Arena,2020-12-30,20:32:03,Malaysia,Poland
Sandefjord Arena,2021-04-05,10:09:51,San Marino,Belarus
Sandefjord Arena,2021-02-15,16:06:47,Greece,Mali
Camp Municipal Narcís Sala,2021-03-16,01:15:45,Ghana,Turkey
Camp Municipal Narcís Sala,2021-03-16,23:29:10,Somalia,Ghana
Camp Municipal Narcís Sala,2021-03-02,22:10:45,Rwanda,Iraq
Camp Municipal Narcís Sala,2020-12-21,17:02:17,San Marino,State of Palestine
Estadio La Fuensanta,2021-03-30,03:01:49,Bulgaria,Cameroon
Estadio La Fuensanta,2021-02-21,09:45:43,Sierra Leone,Ivory Coast
Estadio La Fuensanta,2020-12-16,13:38:27,Libya,Paraguay
Estadio La Fuensanta,2021-02-07,15:11:02,Sierra Leone,Bangladesh
Estadio Municipal Guillermo Amor,2020-12-05,11:55:09,Myanmar,Latvia
Estadio Municipal Guillermo Amor,2021-05-07,18:15:32,Colombia,Germany
Estadio Municipal Guillermo Amor,2021-01-09,11:48:02,Kyrgyzstan,Mauritania
Estadio Municipal Guillermo Amor,2021-05-01,13:14:26,Malaysia,Curaçao
Estadio Municipal Guillermo Amor,2021-05-15,21:30:01,Armenia,Malawi
Estadio Municipal Guillermo Amor,2021-03-22,00:29:33,Austria,Djibouti
Estadio Municipal Guillermo Amor,2021-04-14,23:26:43,Iraq,Egypt
Estadio Municipal Guillermo Amor,2021-01-17,21:54:07,Denmark,South Africa
Titan Stadium,2021-01-25,09:37:34,San Marino,Democratic Republic of the Congo
Titan Stadium,2021-04-23,18:21:14,Malawi,Indonesia
Titan Stadium,2020-12-11,20:33:08,Qatar,Syria
Titan Stadium,2020-12-24,12:00:55,Greece,Bolivia
Titan Stadium,2021-02-01,04:07:34,Saint Lucia,Djibouti
Titan Stadium,2021-05-10,02:36:34,Ivory Coast,Burundi
Titan Stadium,2021-04-20,19:09:05,Luxembourg,Bosnia and Herzegovina
Titan Stadium,2021-04-23,13:15:17,Liberia,Faroe Islands
Titan Stadium,2021-04-28,09:26:22,Paraguay,Ukraine
Strömvallen,2021-03-19,11:47:34,Moldova,Ecuador
Strömvallen,2021-01-21,20:00:56,Sudan,Zambia
Strömvallen,2021-04-27,05:47:07,Serbia,Guatemala
Strömvallen,2021-02-13,19:25:28,Rwanda,Spain
Strömvallen,2021-01-19,05:59:09,Grenada,British Virgin Islands
Strömvallen,2020-12-03,04:19:25,Sierra Leone,Grenada
Jämtkraft Arena,2021-04-29,20:06:11,Australia,North Korea
Jämtkraft Arena,2021-05-02,20:59:26,Canada,Trinidad and Tobago
Jämtkraft Arena,2021-02-19,19:24:13,Nigeria,Sweden
Jämtkraft Arena,2021-01-13,16:51:39,Denmark,Ukraine
Jämtkraft Arena,2021-02-22,13:34:52,Canada,Kosovo
Jämtkraft Arena,2020-11-28,04:09:59,Sierra Leone,Kyrgyzstan
Jämtkraft Arena,2021-01-26,03:33:08,Democratic Republic of the Congo,Belarus
Jämtkraft Arena,2021-01-03,01:06:25,Trinidad and Tobago,Burundi
Stadio Lungobisenzio,2021-03-27,00:04:47,Serbia,Pakistan
Stadio Lungobisenzio,2021-05-07,21:19:12,Italy,Uruguay
Stadio Lungobisenzio,2021-02-08,17:35:53,Malawi,Denmark
Stadio Lungobisenzio,2021-01-08,05:02:08,Slovakia,Djibouti
Stadio Lungobisenzio,2021-04-04,18:16:27,Turkmenistan,Guyana
Stadio Lungobisenzio,2021-04-14,18:24:00,Botswana,Saint Kitts and Nevis
Fayoum Stadium,2021-01-30,02:36:23,Malawi,Kuwait
Fayoum Stadium,2021-01-10,19:23:37,Albania,Botswana
Fayoum Stadium,2021-03-22,15:18:04,Bangladesh,Burkina Faso
Fayoum Stadium,2020-11-27,18:11:15,Myanmar,State of Palestine
Kipchoge Keino Stadium,2020-11-27,01:35:00,Uruguay,Mexico
Kipchoge Keino Stadium,2021-03-05,11:32:45,Turkey,Botswana
Kipchoge Keino Stadium,2020-11-25,05:48:18,Iceland,Mauritania
Kipchoge Keino Stadium,2021-04-29,14:00:22,Mexico,Paraguay
Kipchoge Keino Stadium,2021-02-13,21:20:14,United States of America,Cambodia
Kipchoge Keino Stadium,2021-05-04,08:02:17,Philippines,Saint Vincent and the Grenadines
Kipchoge Keino Stadium,2021-05-04,09:52:31,Democratic Republic of the Congo,Djibouti
Mombasa Municipal Stadium,2021-05-10,02:32:42,Belarus,Trinidad and Tobago
Mombasa Municipal Stadium,2021-01-02,05:53:15,South Africa,Greece
Mombasa Municipal Stadium,2021-03-09,12:22:29,Ecuador,Uganda
Mombasa Municipal Stadium,2021-01-10,21:15:27,Fiji,Rwanda
Mombasa Municipal Stadium,2021-03-30,07:31:39,Lithuania,Belgium
Mombasa Municipal Stadium,2021-01-16,13:36:27,South Sudan,The Gambia
Mombasa Municipal Stadium,2020-12-18,07:17:48,Belarus,Bolivia
Bob Lucas Stadium,2020-12-17,03:25:57,El Salvador,Sri Lanka
Bob Lucas Stadium,2020-12-02,09:09:03,Tajikistan,Republic of Abkhazia
Bob Lucas Stadium,2021-03-29,05:36:42,Bangladesh,Botswana
Bob Lucas Stadium,2021-01-10,11:55:14,United Arab Emirates,Austria
Bob Lucas Stadium,2021-01-22,03:20:35,Israel,India
Bob Lucas Stadium,2021-02-21,19:51:36,Mali,Armenia
Gayfield Park,2021-03-15,18:33:52,Croatia,Slovakia
Gayfield Park,2020-12-03,08:13:51,Mongolia,Austria
Gayfield Park,2021-01-03,22:05:50,Canada,Ecuador
Gayfield Park,2021-03-26,12:06:53,Tanzania,Switzerland
Gayfield Park,2021-04-21,19:05:13,Finland,Switzerland
Gayfield Park,2021-01-18,21:11:20,Vietnam,Solomon Islands
Gayfield Park,2021-03-20,21:50:05,Chile,Eritrea
Victoria Park,2021-04-16,02:09:28,Uganda,Pakistan
Victoria Park,2020-11-27,03:57:59,Thailand,Morocco
Victoria Park,2021-03-08,09:41:02,United Kingdom,North Korea
Station Park,2021-01-20,13:02:44,Poland,Democratic Republic of the Congo
Station Park,2021-05-14,22:13:11,Montenegro,Cuba
Station Park,2021-03-15,12:53:01,Ghana,Colombia
Mong Kok Stadium,2021-04-03,12:29:53,Uruguay,Gabon
Mong Kok Stadium,2021-05-03,23:05:28,Luxembourg,Bulgaria
Mong Kok Stadium,2021-03-02,07:30:06,Liechtenstein,Kazakhstan
Mong Kok Stadium,2021-03-25,23:59:47,El Salvador,Angola
Mong Kok Stadium,2021-05-05,07:02:34,Bulgaria,People's Republic of China
Mong Kok Stadium,2021-01-18,21:50:26,Malaysia,Kenya
Mong Kok Stadium,2021-02-09,06:24:59,Switzerland,Estonia
MSA Lokomotiv,2021-04-15,12:43:05,Indonesia,Moldova
MSA Lokomotiv,2021-01-29,13:38:02,Estonia,India
MSA Lokomotiv,2021-05-12,02:25:12,Norway,Czech Republic
MSA Lokomotiv,2021-03-01,02:47:15,Malaysia,Kosovo
MSA Lokomotiv,2021-05-11,03:48:02,Uzbekistan,Iraq
MSA Lokomotiv,2020-12-16,17:09:49,Libya,Azerbaijan
MSA Lokomotiv,2021-05-09,15:57:30,Brazil,Belgium
MSA Lokomotiv,2020-11-27,11:07:02,Venezuela,South Korea
Torpedo Stadium,2021-01-22,13:19:00,Suriname,Kuwait
Torpedo Stadium,2021-04-03,01:12:42,South Sudan,Philippines
Torpedo Stadium,2021-02-14,11:12:08,Bolivia,Taiwan
Torpedo Stadium,2021-05-07,03:58:48,El Salvador,Armenia
Torpedo Stadium,2020-11-26,11:05:04,Somalia,South Sudan
Torpedo Stadium,2021-04-08,00:51:52,Uzbekistan,Philippines
Torpedo Stadium,2021-04-11,11:47:51,Germany,Antigua and Barbuda
Ludogorets Arena,2021-04-03,04:14:07,Paraguay,British Virgin Islands
Ludogorets Arena,2021-04-02,10:53:47,Ecuador,Afghanistan
Ludogorets Arena,2021-04-20,02:04:26,Saudi Arabia,Libya
Stadio Olimpico,2021-04-25,20:48:26,Mexico,United Kingdom
Stadio Olimpico,2021-03-24,19:26:40,Spain,Kuwait
Stadio Olimpico,2021-02-22,21:10:38,Dominican Republic,Cuba
Stadio Olimpico,2021-05-04,12:05:27,Moldova,Bulgaria
